Address ,  Label                                     
004FCB90,  $$R0001
004F8CF0,  $$R0002
004F7438,  $$R0006
004FCB98,  $$R0008
004F7440,  $$R000A
004FCBA0,  $$R000B
004F7444,  $$R000D
004FCBA8,  $$R000E
004F8C38,  $$R0011
004FCBB0,  $$R0012
004FBE90,  $$R0017
004F7464,  $$R0019
004FA014,  $$R001A
004F8EC8,  $$R001B
004FA01C,  $$R001D
004F8ED0,  $$R0020
004FA020,  $$R0022
004F9988,  $$R0023
004F9DA8,  $$R0024
004F8ED4,  $$R0025
004F9E80,  $$R0027
004F7478,  $$R0028
004F754C,  $$R002A
004FBB5C,  $$R002C
004FBC34,  $$R0030
004F8FB4,  $$R0031
004F7D94,  $$R0032
004F7488,  $$R0034
004FB0BC,  $$R0038
004F8440,  $$R0039
004FA048,  $$R003A
004F8EFC,  $$R003C
004F74A4,  $$R003D
004F8F10,  $$R003E
004F8BC4,  $$R003F
004FA060,  $$R0040
004F9DE8,  $$R0041
004F8D6C,  $$R0042
004FA8A0,  $$R0043
004F7800,  $$R0044
004FBE10,  $$R0045
004F9190,  $$R0046
004FC725,  $$R0047
004F8F20,  $$R004A
004FC72D,  $$R004B
004FA074,  $$R004F
004F8D80,  $$R0050
004FC735,  $$R0051
004FC73D,  $$R0056
004F9EDC,  $$R0057
004FC745,  $$R0059
004FBD64,  $$R005B
004FC74D,  $$R005C
004FA090,  $$R005D
004F8F44,  $$R005E
004F9EF0,  $$R005F
004F950C,  $$R0060
004FC755,  $$R0061
004FCB78,  $$R0064
004FC75D,  $$R0065
004FA3EC,  $$R0066
004FCB80,  $$R006A
004FA178,  $$R006B
004FCB88,  $$R006C
0041C8CC,  AM_ReadEntry_
0041CB50,  AM_ReadMainHeader_
0043D6F8,  Add4thTagSkill_
0043A58C,  AddDots_
0049A008,  AddHealth_
004998C0,  AddHotLines_
0043A55C,  AddSpaces_
004F4175,  AdjField_
00436FEC,  AgeWindow_
004B3DEE,  Agility
004B3ECF,  Armor_Class
004D5048,  AudioDecoder_Close_
004D4FA0,  AudioDecoder_Read_
004D4F58,  AudioDecoder_fill_
00496F34,  Barter
004B404E,  Better_Criticals
0046D0D4,  BugFixLoop_
004D3BE0,  ByteReaderFill_
004F5A00,  CallsSndBuff.Lock
004B3F47,  Carry_Weight
00433AA8,  CharEditEnd_
00433C0C,  CharEditInit_
004329EC,  CharEditStart_
004B3D78,  Charisma
00499FCC,  Check4Health_
0043F73C,  Check4Keys_
0043A79C,  CheckValidPlayer_
0049A03C,  ClacTime_
004FE124,  CloseHandle_0
004C72E0,  Color2RGB_
0044F250,  CompLZS_
004FE046,  CreateDirectoryA
004FE0B8,  CreateEventA
004FE160,  CreateFileA
004FE118,  CreateMutexA_0
004FE0B2,  CreateThread
004D50A8,  Create_AudioDecoder_
004B4011,  Critical_Chance
004E3DE9,  CtrlHandlerIsNeeded_
004E3D90,  CtrlSignalHandler@4_
004E3BA4,  DOSCmdLineCreate_
004E3D3C,  DOSCmdLineDestroy_
004E3D88,  DOSCmdLineFatalError_
004E3B90,  DOSCmdLineInit_
004929C8,  DecGamma_
0044F92C,  DecodeLZS_
004FDF68,  DeleteFileA
0044F7EC,  DeleteNode_
00451852,  Dirt&Stone&Cement
004F406F,  DoEFormat_
004F4112,  DoFFormat_
00490E8C,  DoThing_
00496E3B,  Doctor
004FE0DC,  DosDateTimeToFileTime
004996B4,  DrawAlarmText_
004997B8,  DrawAlrmHitPnts_
0043DB54,  DrawCard2_
0043AAEC,  DrawCard_
0043410C,  DrawFolder_
0047E8E0,  DrawInfoBox_
004365AC,  DrawInfoWin_
0047F48C,  DummyFunc_
00416360,  EST_
0047F4C8,  EndLoad_
00497828,  EndPipboy_
004B3D3D,  Endurance
00480754,  EraseSave_
004FE17E,  ExitProcess
004FE0AC,  ExitThread
00441CEC,  FMExit_
00441C80,  FMInit_
00441D20,  FMLoadFont_
004421DC,  FMtext_char_width_
004422AC,  FMtext_curr_
00442120,  FMtext_font_
00442168,  FMtext_height_
004424F0,  FMtext_leading_
00442278,  FMtext_max_
00442210,  FMtext_mono_width_
00442258,  FMtext_size_
00442508,  FMtext_space_width_
00442240,  FMtext_spacing_
004422B4,  FMtext_to_buf_
00442188,  FMtext_width_
004FE0E2,  FileTimeToDosDateTime
004FE0E8,  FileTimeToLocalFileTime
004FE13C,  FindClose
004FE142,  FindFirstFileA
004FE136,  FindNextFileA
00496E06,  First_aid
004EEA0F,  FixedPoint_Format_
0043AE84,  FldrButton_
004E030E,  Full_at_exit_rtn_
004CB450,  GNW95_GetPaletteEntry_
004CB68C,  GNW95_GetPalette_
004CB93C,  GNW95_MouseShowRect16_
004CBAB0,  GNW95_MouseShowTransRect16_
004CB310,  GNW95_SetPaletteEntries_
004CB218,  GNW95_SetPaletteEntry_
004CB568,  GNW95_SetPalette_
004CBA44,  GNW95_ShowRect16_
004CB850,  GNW95_ShowRect_
004C9490,  GNW95_build_key_map_
004C9DF0,  GNW95_clear_time_stamps_
004C9BB4,  GNW95_hook_input_
004C9C28,  GNW95_hook_keyboard_
004CAF9C,  GNW95_init_DirectDraw_
004CADE4,  GNW95_init_mode_
004CAE1C,  GNW95_init_mode_ex_
004CAEDC,  GNW95_init_window_
004C9C20,  GNW95_input_init_
004C9C4C,  GNW95_keyboard_hook_
004C9EEC,  GNW95_lost_focus_
004C9E14,  GNW95_process_key_
004C9CF0,  GNW95_process_message_
004CB1B0,  GNW95_reset_mode_
004CBBC8,  GNW95_zero_vid_mem_
004D8200,  GNWSystemError_
004C8C04,  GNW_add_input_buffer_
004D9A58,  GNW_button_refresh_
004D8A10,  GNW_check_buttons_
004D7A34,  GNW_check_menu_bars_
004C6CD0,  GNW_debug_init_
004D9374,  GNW_delete_button_
004C8D1C,  GNW_do_bk_process_
004D7888,  GNW_find_
004D79DC,  GNW_find_button_
004C8B40,  GNW_input_exit_
004C8A70,  GNW_input_init_
004DD4A4,  GNW_intr_exit_
004DD3EC,  GNW_intr_init_
004CBD00,  GNW_kb_restore_
004CBC90,  GNW_kb_set_
004C9FD8,  GNW_mouse_exit_
004C9F40,  GNW_mouse_init_
004DC930,  GNW_process_menu_
004C6900,  GNW_rect_exit_
004D5BA4,  GNW_text_char_width_
004D55CC,  GNW_text_exit_
004D58AC,  GNW_text_font_
004D5B54,  GNW_text_height_
004D555C,  GNW_text_init_
004D5BF8,  GNW_text_max_
004D5BB8,  GNW_text_mono_width_
004D5BE4,  GNW_text_size_
004D5BD8,  GNW_text_spacing_
004D59B0,  GNW_text_to_buf_
004D5B60,  GNW_text_width_
004D6FD8,  GNW_win_refresh_
00496F66,  Gambling
0047F510,  GameMap2Slot_
004FE1AE,  GetActiveWindow
004FE130,  GetCPInfo
004FE172,  GetCommandLineA
0047ED5C,  GetComment_
004FDF44,  GetConsoleMode
004FE190,  GetCurrentDirectoryA
004FE14E,  GetCurrentProcessId
004FE0BE,  GetCurrentThread
004FE11E,  GetCurrentThreadId_0
004FDF5C,  GetDiskFreeSpaceA_0
004FE178,  GetEnvironmentStrings
004FE04C,  GetFileAttributesA_0
004FE0EE,  GetFileType
00431560,  GetFreeDiskSpace_
004FE148,  GetLastError_0
004FDF56,  GetLocalTime
004FE19C,  GetModuleFileNameA_0
004FE166,  GetModuleHandleA
0043D38C,  GetMutateTrait_
004FE1A2,  GetProcAddress_0
0047E5D0,  GetSlotList_
004FE154,  GetStdHandle
004FDF62,  GetTickCount_
0047DEC8,  GetTimeDate_
004FDF50,  GetTimeZoneInformation
004FE16C,  GetVersion
0045184A,  Glass&Metal&Plastic
00452970,  HEAP_BPT_
004B3FD5,  Healing_Rate
0044EBC0,  HighRGB_
00423AD1,  Hit_CRITICAL_FAILURE
00423A97,  Hit_CRITICAL_SUCCESS
00423ABE,  Hit_FAILURE
00423AA2,  Hit_SUCCESS
004DECA0,  IF@ATAN
004DECB5,  IF@ATAN2
004E4590,  IF@DEXP
004DEB3A,  IF@DPOW
004F44B2,  IF@LOG
004F44F9,  IF@LOG10
004F44F5,  IF@LOG2
004928E4,  IncGamma_
004C72D5,  Index2RGB_
0043AF40,  InfoButton_
004DE7F4,  InitClass_
0044FA78,  InitGreyTable_
004DE864,  InitInstance_
0047B7E4,  InitLoadSave_
0044F5F0,  InitTree_
0043CACC,  InputPDLoop_
0044F63C,  InsertNode_
004B3DB3,  Intelligence
004931F8,  JustUpdate_
004E3E54,  KillCtrlHandler_
0048000C,  KillOldMaps_
0047D824,  LSGameEnd_
0047D2E4,  LSGameStart_
00451856,  Leather&
004993DC,  ListArchive_
0043D0BC,  ListDPerks_
0043527C,  ListDrvdStats_
00498C40,  ListHoloDiskTitles_
004344A4,  ListKills_
0043D960,  ListMyTraits_
0043D81C,  ListNewTagSkills_
00436154,  ListSkills_
00498734,  ListStatLines_
0043B8A8,  ListTraits_
004DE8D0,  LoadDirectX_
0047C640,  LoadGame_
0047E2E4,  LoadHeader_
004FE1A8,  LoadLibraryA_0
00480710,  LoadObjDudeCid_
0047DC68,  LoadSlot_
0047EC48,  LoadTumbSlot_
004FE0D6,  LocalFileTimeToFileTime
00496EAD,  Lockpick_and_Steal_and_Traps
004B3E57,  Luck
004F4D40,  MVE_MemAlloc_
004F48C0,  MVE_MemFree_
004F4890,  MVE_MemInit_
004F6350,  MVE_ReleaseMem_
004F62F0,  MVE_RunMovieContinue_
004F6280,  MVE_RunMovie_
004FCBC1,  MVE_SetPalette_
004F6930,  MVE_frClose_
004F66D0,  MVE_frGet_
004F6480,  MVE_frOpen_
004FCE34,  MVE_gfxSetSplit_
004FCE17,  MVE_gfxWaitRetrace_
004F4860,  MVE_ioCallbacks_
004F4800,  MVE_memCallbacks_
004F4870,  MVE_memIO_
004F4A10,  MVE_palCallbacks_
004F4B90,  MVE_rmCallbacks_
004F6240,  MVE_rmEndMovie_
004F4BD0,  MVE_rmFrameCounts_
004F4E20,  MVE_rmHoldMovie_
004F4BF0,  MVE_rmPrepMovie_
004F4EC0,  MVE_rmStepMovie_
004F49F0,  MVE_sfCallbacks_
004F4940,  MVE_sfSVGA_
004F5B70,  MVE_sndAdd_
004F5570,  MVE_sndConfigure_
004F697C,  MVE_sndDecompM16_
004F69AD,  MVE_sndDecompS16_
004F48F0,  MVE_sndInit_
004F4EA0,  MVE_sndPause_
004F6380,  MVE_sndRelease_
004F56F0,  MVE_sndReset_
004F5CA0,  MVE_sndResume_
004F5720,  MVE_sndSync_
004F63D0,  MVE_strerror_
004F56C0,  MVE_syncSync_
004800C8,  MapDirEraseFile_
00480040,  MapDirErase_
004B3E92,  Maximum_Action_Points
004B3F0A,  Melee_Damage
004FE094,  MoveFileA
00436C4C,  NameWindow_
00499870,  NewFuncDsply_
004999C0,  NixHotLines_
004B40F1,  NoAdjustStat
0049F894,  No_Update
004E119F,  Norm_
00437C08,  OptionWindow_
00490244,  OptnEnd_
0048FE14,  OptnStart_
00496F82,  Outdoorsman
004902B0,  PauseWindow_
004B3D02,  Perception
0043DF24,  PerkCount_
00499518,  PipAlarm_
0049932C,  PipArchives_
00498D40,  PipAutomaps_
00497BD8,  PipStatus_
004B40B9,  Poison_Resistance
00492870,  PrefEnd_
004908A0,  PrefStart_
0047F490,  PrepLoad_
00499150,  PrintAMList_
00498F30,  PrintAMelevList_
0043501C,  PrintAgeBig_
00434B38,  PrintBasicStat_
004345DC,  PrintBigNum_
00435118,  PrintBigname_
00434F18,  PrintGender_
00434920,  PrintLevelWin_
00436F70,  PrintName_
0041FBDC,  PrntFlist_
0047C5B4,  QuickSnapShot_
004C72CC,  RGB2Color_
004B408B,  Radiation_Resistance
0041CE74,  ReadAMList_
004D3D9C,  ReadBand_Fail_
004D3DA0,  ReadBand_Fmt0_
